gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,is_hypertension
0.69018,0.79793,0.84225,0.27989,1.1702,1.1535,0.91017,1.1641,0.12902,0.32156,0.51864,-0.3131,0.19334,0.12788,0.68176,1.5054,0.5337,-0.5243,-0.28568,0.4411,-0.24889,-0.29554,-1.4184,1.1173,0.50255,-0.53946,-1.4653,-0.49171,0.50295,-0.089213,-1.377,0.13825,-0.63886,0.3841,0.11818,-0.19275,1.5797,-1.2453,0.74111,1.0995,1.4087,-0.67485,0.60301,0.15042,-0.48229,-0.45771,1.1495,-0.54603,0.63857,-0.64707,-3.1769,0.46632,0.36484,0.76014,1.0769,0.43523,1.0441,-0.024467,-0.792,-0.48982,-0.37132,0.56887,1.7821,0.52119,0.51186,-0.15989,0.86439,0.71007,-0.60585,-0.29341,0.067773,0.029026,-0.57298,0.17479,0.49012,1.6194,0.19882,-0.59443,-0.65584,-1.6624,-0.86803,-2.2006,0.37071,-0.17403,-0.090723,0.53258,-1.2245,-0.11072,-1.062,-1.2766,0.52226,-1.0085,-0.10796,0.82295,-0.018647,0.42075,0.99806,-0.22684,-1.3533,0.38568,1
1.8179,-0.12338,-0.78917,0.42283,1.0865,0.6532,-1.1486,0.10123,-1.9171,-1.3791,0.36565,-1.3371,-0.81592,-0.19464,1.9957,-0.35831,-0.99505,0.32483,-0.80627,0.59547,-1.0654,-0.40325,0.43493,-0.10862,-0.019073,-1.3636,-0.52614,0.96148,-0.34758,0.52123,0.014731,-1.2667,-0.34371,0.424,-0.38644,-0.61387,0.6262,-0.43509,0.9278,0.30315,-0.41845,1.4548,-1.7486,-0.42845,-0.54355,1.6557,0.0705,0.7198,-0.15215,0.0079254,0.59584,0.037913,0.37887,-0.012748,-0.59414,0.69674,1.053,-0.66326,0.46485,-1.3755,0.62522,0.045788,0.017158,-1.5944,-1.1369,0.51046,0.33108,-0.94466,0.4134,-1.0469,0.58806,0.56014,1.8028,0.24433,2.2391,0.080138,-0.44988,-1.0635,-0.35055,0.68713,-1.9218,-1.4438,-1.5042,-0.21518,-0.071396,0.24899,-0.32922,-1.3745,-0.098312,-1.2694,-0.91881,-1.2803,-0.43321,-1.3772,1.5912,0.16174,0.27523,0.68415,0.11774,-0.33622,1
0.7398,1.4749,-0.41461,0.90759,0.97182,-0.41503,0.91206,0.45969,0.10113,-0.17737,0.17367,-0.66689,0.13267,0.13234,1.0492,0.31653,-0.37967,2.2646,-0.28183,1.463,0.46314,-0.71882,-1.0131,-1.0337,0.42754,1.2819,-0.25894,1.0434,0.76551,0.86997,-0.67026,0.1502,-1.067,0.945,-0.57479,0.60098,0.483,0.70972,-0.27645,0.33393,0.82355,1.257,0.9754,0.43496,1.2281,-0.86537,0.96832,-0.70563,-0.41944,-0.7802,0.22959,-0.67555,0.3016,0.39904,0.74027,0.48564,1.9895,0.59474,0.28111,0.19243,0.44097,0.57397,1.2106,-1.5932,0.38017,0.39773,1.1773,0.98217,-0.14324,0.17047,-1.9331,0.36718,-2.2188,-0.29018,0.31589,0.46196,0.58326,0.49057,-1.0738,-1.292,0.14969,0.27275,-0.65857,-1.4036,0.50365,-0.42785,-0.095158,0.022203,1.3014,0.67285,-1.1277,-1.215,0.091003,0.86375,0.40956,0.43071,0.56581,-0.37506,-0.39501,-0.754,1
0.8232,0.55339,0.32356,1.0597,0.28199,1.9531,-0.027478,1.3399,-0.21579,0.26676,1.0081,0.60781,0.46147,0.048621,0.032026,0.92274,0.93541,1.0628,-0.33708,0.72982,0.44309,-0.38893,-1.4826,-1.286,-0.12077,0.91715,-0.45996,-0.37676,0.77002,0.67369,-0.85394,0.060129,0.40751,0.70796,1.6511,1.4025,0.88801,-1.3979,0.89717,1.2797,1.43,0.32633,-0.67613,0.29378,-0.88188,-0.57388,1.2307,-1.5578,-4.2702,-0.24699,0.80953,-2.7681,0.21627,0.17151,0.44492,-0.50514,0.70891,0.58273,1.2805,0.098447,0.16429,-1.4486,0.39876,0.028991,0.0011495,0.40575,0.92426,1.0615,-0.39651,-0.21947,-3.6275,-0.31564,-0.070792,-0.34348,-2.1479,1.3257,-0.99422,0.56729,1.1066,-0.79015,-0.70403,1.78,0.44148,0.37446,-1.43,0.53322,0.6831,-0.33417,0.78841,2.1318,0.044871,0.8475,1.1666,-0.45206,0.38228,-0.21027,1.1301,-0.059378,1.391,1.7411,1
-0.35936,0.73772,-0.054567,0.15315,0.51959,-0.57544,0.2942,0.50616,2.708,0.03987,-0.0037274,1.1161,1.5175,0.59486,0.049343,-0.35395,-0.024939,-0.63107,0.45931,0.24221,0.32833,-0.023121,0.77967,-0.8887,-0.91282,0.55835,0.18921,-1.8224,0.63418,-1.3085,1.4035,-0.79564,-0.083603,-0.54446,0.67004,0.29561,0.050287,0.032993,1.1419,0.3896,0.32802,0.73687,-0.57601,-1.4147,0.082971,0.21637,1.2027,-0.55418,0.87046,-0.24538,0.73525,0.74883,-0.0076066,0.42772,2.0672,-1.1897,0.33525,0.87049,1.0076,0.25079,0.36447,-0.74689,0.81208,1.4562,0.56601,-0.47696,0.089425,1.0885,-0.095999,1.0019,0.51635,0.86558,0.64648,-0.88292,-0.73739,0.66811,-0.66503,0.23632,-0.24515,0.7938,3.3951,0.26658,0.28649,0.12642,0.17744,-0.28706,-0.111,-1.6835,-0.083095,0.37437,0.81592,0.55337,-0.45434,-1.2576,0.28813,0.37144,1.2237,-1.7098,0.89645,-1.7465,1
-0.71847,-2.3137,1.3612,1.02,0.26519,0.82136,-0.72919,0.96804,-0.25847,0.24176,0.47072,0.4183,1.4489,1.458,-0.11333,0.04853,-0.019102,1.0286,0.51524,-1.2785,-0.3855,0.067391,-2.642,0.67585,0.65118,0.057542,-0.90707,-1.2047,-0.021657,-0.64736,-2.1686,0.13158,0.38199,0.20869,0.80319,0.21042,-1.3112,0.45717,0.6266,1.0112,0.34275,-0.039398,0.17852,0.92259,1.5816,0.53362,-0.63007,-0.43746,1.0821,-0.022675,-0.0145,0.385,-0.099149,0.96045,-0.34186,0.50602,0.30772,-1.0989,-0.84524,0.38062,1.0503,-0.73544,-0.13361,-1.3999,1.2005,0.55602,-0.78454,0.053997,-0.24447,0.66935,0.29173,0.38418,-0.20703,-1.739,0.71693,0.00026963,1.2699,0.65231,-0.057631,-2.3531,-0.14548,1.5388,0.96886,-0.26684,-0.23122,-0.40145,0.12235,0.89269,-1.1885,1.2894,0.73441,-1.6045,-0.10501,-0.087025,-0.49683,0.65316,1.5078,0.61384,1.0996,-0.079633,1
-0.058627,-0.15021,0.72293,-0.093045,0.12857,1.3639,-0.14389,-0.25939,0.75692,-0.29132,1.5964,-2.5904,0.73952,-0.45061,0.091096,0.22997,-0.76836,0.57731,-1.4213,3.0528,0.26882,-0.35833,-0.70403,0.015867,0.39412,0.54463,0.35112,0.17209,-1.0789,0.54993,-0.75,-1.4373,0.28115,-0.32459,-0.033952,0.6071,0.31227,-1.1021,-0.55164,1.5275,0.339,0.40065,0.0047733,0.82438,0.47678,-0.71689,0.27275,0.88692,0.39688,0.22,1.286,0.41259,0.46368,0.69368,-0.62515,-0.070295,-0.43541,-0.12143,0.43588,-0.48707,-0.26363,-2.7319,-1.9495,0.18835,-0.22823,1.6788,-0.06569,-0.11472,-0.48376,-0.1228,0.32655,0.099332,-0.45536,0.10626,-0.80484,0.063444,-0.024227,0.39697,0.16353,-0.73403,-0.4684,1.1125,0.79147,-0.21325,0.078379,0.015032,0.030487,-0.56003,0.83891,0.38884,-0.047109,0.51735,0.59539,-0.37341,0.38222,0.1005,-0.75975,0.3935,2.0782,-0.13214,1
-0.6074,-0.38893,-0.018868,-0.15148,0.13011,0.13736,0.62255,-2.1659,-0.69734,-0.64989,-0.51282,0.33928,-0.31238,-0.24062,0.36561,-0.5234,0.27642,0.65869,-0.079151,-0.87377,-0.27558,0.35141,0.48365,0.71353,-0.92317,-0.12188,-0.4015,0.64205,0.57315,0.39264,0.089359,-0.62705,-1.3605,0.84814,0.83145,-0.78814,-0.6104,0.013559,-0.57548,0.32698,-0.37279,0.23519,0.39702,-0.54405,-0.21762,1.3414,-0.6014,0.22914,0.41798,-0.76109,-0.32933,0.74263,0.15194,-1.0664,-0.93047,-0.60823,-0.30499,-0.39805,-0.048666,-0.019937,-1.4578,0.56194,-0.16161,0.10538,-0.33604,0.6026,-0.51689,0.72923,-0.13007,0.012125,1.2181,-0.097042,-0.26857,0.24364,-0.67847,-0.23031,-0.41374,0.058884,-0.023648,0.71991,0.70542,-0.13996,0.3316,-0.028958,0.21411,-0.29876,-1.0738,0.58456,-1.304,-0.34094,-0.093505,-0.16062,0.48505,-0.70119,-0.2996,-0.057499,-1.157,0.62558,-0.44561,-1.9903,1
-0.42291,0.32198,0.62047,0.93346,-1.3471,0.40562,0.39902,0.59788,1.6359,0.6802,-1.3983,1.1347,-0.68521,0.7052,0.13643,-0.51554,0.6952,-0.047151,0.31574,0.85375,1.7356,-0.59987,-0.096774,0.11689,0.3617,0.77229,-0.85737,-0.72952,-0.25794,-0.45258,0.33224,-0.64894,0.40638,-0.93384,-1.2074,0.40593,-0.48992,0.97187,0.069248,1.0688,-0.32009,-0.2754,0.37213,-0.070876,-0.68052,0.72608,1.0953,0.27551,0.84803,0.74039,1.6748,-0.060531,0.28329,0.62548,1.6585,-0.23282,0.47388,0.34181,-1.5882,-0.86991,0.30468,-0.82829,-0.41867,-0.26199,-1.3934,0.046786,-0.3004,0.60937,0.71465,0.75987,-0.53373,0.7374,0.32567,-0.32983,-1.74,0.27358,1.6193,1.9187,1.2984,0.22576,-0.82887,2.2806,1.1814,0.39188,0.62158,-1.7397,0.12701,0.1406,0.083038,1.0457,-1.7456,-0.38545,0.9812,-1.001,0.26974,2.0453,-0.50856,-0.31465,0.091093,0.86562,1
0.13843,0.31571,-0.08865,-1.0278,0.30961,0.16605,1.5022,0.56298,-0.7143,1.2608,0.98135,0.31086,-0.43265,-0.57891,0.78029,0.7975,0.035505,1.2505,-1.767,0.86147,0.3828,-0.38259,-0.60233,0.68108,0.02462,0.86545,0.7795,0.40596,1.7698,0.79719,-0.27291,-1.1181,1.1019,0.31931,-0.57931,-1.3452,-0.56511,-0.88146,-1.5561,0.50938,1.0936,-0.0033675,-0.01813,-0.54252,-1.2722,0.82222,0.0069935,-0.43376,0.025529,0.066805,0.77175,-1.8558,-0.77,-0.7507,-0.16456,-0.034194,0.46625,1.5653,0.18252,-0.88994,-0.42027,-0.58954,0.7116,0.537,-1.1206,0.6975,1.7123,0.53433,-0.34734,0.50431,-0.65024,-1.6102,-0.19037,-0.20422,-1.4654,-1.2875,0.11923,-0.0442,0.22224,-0.16926,-0.26069,0.2676,-0.36208,-0.36656,-1.026,-0.26129,-0.1753,-1.3874,0.85439,0.42555,-0.25213,0.46312,0.25841,-0.29102,1.8698,-0.49493,0.71008,-0.0112,0.57435,0.31418,1
-0.57378,1.4915,1.0093,0.62761,1.1171,0.40823,0.37264,-0.42964,-0.12357,1.0878,0.32857,1.3974,1.5186,0.71771,1.4051,-0.21165,0.41131,-0.64882,-0.24388,0.23205,0.0024908,0.65853,1.6938,-0.81332,0.14547,1.6976,-0.39691,-0.61431,-0.2178,1.1112,0.62576,-0.20635,0.65008,-0.22442,-0.59097,1.493,-0.40777,0.43464,-0.014149,0.12874,-0.64063,0.14926,1.0526,-0.28406,0.069203,2.1346,0.050633,0.30891,0.2513,1.3647,0.5811,0.75395,0.43003,1.1021,-0.52599,2.2784,-0.63603,-1.3567,0.10238,-0.68059,0.26257,1.0632,-0.40961,-0.13831,-0.25116,0.50298,-0.76387,0.24809,-0.83354,0.36722,0.56187,0.2741,-0.25211,0.551,0.69756,-0.26478,0.71979,-1.548,1.5723,1.691,1.1908,1.191,1.1026,-0.55851,0.34828,0.68399,1.04,0.67367,-0.6144,-0.53157,-0.62868,0.45831,0.11107,-0.4955,0.079906,0.32216,-0.17094,-1.6755,0.05759,0.51177,1
0.74112,1.3055,1.0229,-0.29696,1.4059,0.26222,0.72654,-0.9456,0.090061,0.72712,0.16881,-0.55715,-0.81967,0.2254,1.1036,0.87289,0.22976,-0.86502,-0.019807,-0.4475,0.022024,0.28953,1.0414,1.5418,0.31595,-0.43755,-0.39579,-0.39031,1.6953,-0.086263,1.3913,1.7396,0.37759,-0.8649,0.7604,0.2861,0.95973,0.88208,0.71615,0.76968,-1.2314,-0.9039,2.5599,-0.30458,0.26406,-0.31651,-1.008,0.015151,0.66084,-0.019061,2.4265,0.93038,0.77394,0.95721,-1.5811,1.7017,-1.1557,-1.9234,1.1341,0.096938,-0.64534,1.6553,-0.02221,1.4127,1.3241,0.91626,0.2791,0.63567,0.45656,-1.1296,0.66956,0.42343,-1.065,-0.22466,0.56927,-0.6712,1.8795,-0.51826,-0.085104,0.7948,0.58245,1.0045,0.84862,-0.071227,1.1846,-0.020631,0.57712,-0.30614,1.7259,-1.445,0.35933,-1.6459,0.88408,0.88403,0.90844,1.0957,-0.72846,-1.5749,-0.19488,0.99813,1
0.089939,1.3782,0.60748,-1.2371,-0.67601,0.26866,0.67024,0.20607,-0.53866,-0.8915,0.8088,0.43847,0.53009,0.67365,-0.085603,0.12389,0.46743,-0.83049,-0.068812,-0.38329,-0.64068,0.421,0.45406,0.89328,0.13337,-0.090421,-1.2521,0.037295,0.062722,1.2406,0.35624,-1.161,-0.50356,-0.69244,0.33491,-0.54266,0.032,-0.96695,0.022415,1.8299,-0.46187,-0.044082,0.68844,-0.86708,0.88467,1.3818,-0.51811,0.24125,0.19888,-0.51595,0.7849,1.0934,-0.54205,0.3319,-0.87088,-0.74752,1.2685,0.39604,0.236,-0.50517,-0.41468,0.72154,-0.80465,-0.60986,1.0781,0.26372,-1.4326,0.3269,0.069964,-0.033154,1.3428,-0.40568,0.017471,0.61608,0.057226,-1.7613,-0.055817,-0.44968,-0.26821,0.59522,-0.05748,0.46677,-0.39803,-0.24199,1.2821,-0.67127,-0.061261,-1.7708,0.77938,-0.50512,-0.84624,0.026597,0.4813,0.2287,0.34047,0.6683,-0.25279,0.72379,-0.28684,-0.31223,1
0.07298,-0.45582,-0.36281,0.80974,-0.065657,0.43564,0.15891,0.79305,0.23466,-0.37303,-0.23933,1.346,-1.1993,-0.058763,-0.59339,1.005,-0.51118,-0.63262,0.19268,-0.059579,-1.2625,0.35194,0.57598,0.20562,0.59853,-0.37579,0.39317,1.9186,0.050747,1.344,0.71575,0.29554,-2.3039,-0.17402,0.38088,-1.0745,-0.53775,-0.27391,-0.38825,0.67672,-0.163,0.13377,0.64891,-0.78391,0.55834,0.57499,0.069872,0.81351,0.31734,0.062925,0.20708,1.0346,1.4089,-0.56673,0.037381,-0.20609,-1.2841,-0.1839,-0.26406,0.31159,0.41094,1.2371,-0.070612,0.66054,0.27907,-0.0048623,-0.81718,-0.66194,-0.27089,0.027648,1.8116,-0.11737,0.19266,0.54472,0.26452,-1.5573,0.16194,0.24481,-1.108,1.1769,0.40531,0.28835,-1.2242,-0.26351,0.3186,-0.78149,0.13254,0.40942,0.28206,0.94961,-0.15118,-1.5754,0.16601,0.28017,-0.83906,-0.41944,-0.94074,0.30946,-0.46246,-0.94042,1
